variavel,count,mean,std,min,25%,50%,75%,max
preco_usado_usd,1035.0,328.0782608695652,305.3114189392367,41.0,107.5,251.0,437.0,2119.0
preco_varejo_usd,1005.0,507.64776119402984,410.87354869278346,75.0,222.0,361.0,679.0,2229.0
consumo_w,1035.0,202.2753623188406,95.3487466268262,50.0,125.0,190.0,285.0,450.0
vram_gb,1035.0,10.104347826086956,5.75135426275318,2.0,6.0,8.0,12.0,24.0
pontuacao_3dmark,1035.0,12272.687922705314,8324.78348753362,1195.0,4973.0,11379.0,17846.0,35966.0
preco_por_ponto_3dmark,1035.0,0.026001362132153046,0.009466024875776503,0.011862396204033215,0.019783673846722753,0.024174053182917002,0.029645381752623927,0.10370879120879122
